商店名稱,品項,菜單,價格
艾旦咖哩坊,咖哩,就是咖哩飯,60
艾旦咖哩坊,咖哩,肉醬咖哩飯,80
艾旦咖哩坊,咖哩,野蔬菇菇咖哩飯,80
艾旦咖哩坊,咖哩,嫩雞咖哩飯,100
艾旦咖哩坊,咖哩,豬肉咖哩飯,100
艾旦咖哩坊,咖哩,可樂餅咖喱飯,100
艾旦咖哩坊,咖哩,牛肉咖哩飯,110
艾旦咖哩坊,咖哩,德國香腸咖哩飯,110
艾旦咖哩坊,咖哩,炸豬排咖哩飯,120
艾旦咖哩坊,咖哩,唐揚雞咖哩飯,130
艾旦咖哩坊,咖哩,起士豬排咖喱飯,140
艾旦咖哩坊,咖哩,炸蝦咖哩飯,150
艾旦咖哩坊,丼飯系列,豬肉丼飯,80
艾旦咖哩坊,丼飯系列,野蔬天婦羅丼飯,80
艾旦咖哩坊,丼飯系列,嫩雞丼飯,90
艾旦咖哩坊,丼飯系列,牛肉丼飯,90
艾旦咖哩坊,丼飯系列,唐揚雞丼飯,110
艾旦咖哩坊,丼飯系列,炸豬排丼飯,110
艾旦咖哩坊,丼飯系列,炸蝦丼飯,130
艾旦咖哩坊,單點,可樂餅,40
艾旦咖哩坊,單點,薯條,50
艾旦咖哩坊,單點,德國香腸,50
艾旦咖哩坊,單點,炸豬排,60
艾旦咖哩坊,單點,唐揚雞,70
艾旦咖哩坊,單點,起司豬排（1片）,50
艾旦咖哩坊,單點,炸蝦（1隻）,50
