商店名稱,品項,菜單,價格
八方雲集 亞洲大學店,鍋貼(十顆一份),招牌鍋貼,63
八方雲集 亞洲大學店,鍋貼(十顆一份),韭菜鍋貼,63
八方雲集 亞洲大學店,鍋貼(十顆一份),韓式辣味鍋貼,63
八方雲集 亞洲大學店,鍋貼(十顆一份),咖哩雞肉鍋貼,63
八方雲集 亞洲大學店,鍋貼(十顆一份),玉米鍋貼,63
八方雲集 亞洲大學店,水餃(十顆一份),招牌水餃,63
八方雲集 亞洲大學店,水餃(十顆一份),韭菜水餃,63
八方雲集 亞洲大學店,水餃(十顆一份),韓式辣味水餃,63
八方雲集 亞洲大學店,水餃(十顆一份),咖哩雞肉水餃,63
八方雲集 亞洲大學店,水餃(十顆一份),玉米水餃,63
八方雲集 亞洲大學店,水餃(十顆一份),鮮蝦水餃,100
八方雲集 亞洲大學店,湯餃,酸辣湯餃,85
八方雲集 亞洲大學店,湯餃,玉米湯餃,85
八方雲集 亞洲大學店,乾麵,招牌乾麵(粗),49
八方雲集 亞洲大學店,乾麵,古早味乾麵(細),39
八方雲集 亞洲大學店,乾麵,麻醬乾麵(細),49
八方雲集 亞洲大學店,乾麵,紹辣乾麵(粗),55
八方雲集 亞洲大學店,湯麵,古早味湯麵(細),39
八方雲集 亞洲大學店,湯麵,酸辣湯麵(細),64
八方雲集 亞洲大學店,湯麵,珍珠餛飩麵(細),65
八方雲集 亞洲大學店,湯麵,菜肉大餛飩麵(細),75
八方雲集 亞洲大學店,湯麵,紹辣珍珠餛飩麵(細),75
八方雲集 亞洲大學店,湯麵,紹辣菜肉大餛飩麵(細),85
八方雲集 亞洲大學店,湯麵,榨菜肉絲麵(粗),75
八方雲集 亞洲大學店,抄手,珍珠和風抄手,55
八方雲集 亞洲大學店,抄手,菜肉和風大抄手,69
八方雲集 亞洲大學店,抄手,珍珠紅油抄手,55
八方雲集 亞洲大學店,抄手,菜肉紅油大抄手,69
八方雲集 亞洲大學店,小菜,滷蛋,15
八方雲集 亞洲大學店,小菜,柚香蘿蔔,40
八方雲集 亞洲大學店,小菜,黃金泡菜,30
八方雲集 亞洲大學店,小菜,台式泡菜,30
八方雲集 亞洲大學店,小菜,韓式泡菜,30
八方雲集 亞洲大學店,湯品,酸辣湯,35
八方雲集 亞洲大學店,湯品,玉米濃湯,35
八方雲集 亞洲大學店,湯品,旗魚花枝丸湯,35
八方雲集 亞洲大學店,湯品,珍珠餛飩湯,45
八方雲集 亞洲大學店,湯品,菜肉大餛飩湯,55
八方雲集 亞洲大學店,飲品,白豆漿,20
八方雲集 亞洲大學店,飲品,黑豆漿,20
八方雲集 亞洲大學店,飲品,無糖豆漿,20
八方雲集 亞洲大學店,飲品,寒天香醇豆漿,45
