商店名稱,品項,菜單,價格
美而美早餐 亞大店,吐司類,火腿蛋吐司,35
美而美早餐 亞大店,吐司類,起司蛋吐司,35
美而美早餐 亞大店,吐司類,肉鬆蛋吐司,35
美而美早餐 亞大店,吐司類,培根蛋吐司,40
美而美早餐 亞大店,吐司類,鮪魚蛋吐司,40
美而美早餐 亞大店,吐司類,香雞排蛋吐司,40
美而美早餐 亞大店,吐司類,里肌豬排蛋吐司,50
美而美早餐 亞大店,吐司類,檸檬雞蛋吐司,55
美而美早餐 亞大店,吐司類,卡拉雞腿蛋吐司,65
美而美早餐 亞大店,吐司類,薄片吐司,20
美而美早餐 亞大店,吐司類,水果蔬菜總匯,65
美而美早餐 亞大店,吐司類,厚片吐司,25
美而美早餐 亞大店,吐司類,總匯三明治,65
美而美早餐 亞大店,吐司類,蛋吐司,25
美而美早餐 亞大店,吐司類,隱藏版 巧克力檸檬雞吐司,45
美而美早餐 亞大店,吐司類,隱藏版 草莓豬肉蛋吐司,45
美而美早餐 亞大店,吐司類,隱藏版 花生卡拉雞蛋吐司,70
美而美早餐 亞大店,吐司類,菲力雞蛋吐司,65
美而美早餐 亞大店,吐司類,日式豬排蛋吐司,65
美而美早餐 亞大店,吐司類,蔬菜蛋吐司,40
美而美早餐 亞大店,吐司類,魚排蛋吐司,65
美而美早餐 亞大店,吐司類,豬肉蛋吐司,40
美而美早餐 亞大店,吐司類,薯餅蛋吐司,40
美而美早餐 亞大店,吐司類,蔬菜蛋吐司,40
美而美早餐 亞大店,潛艇堡,德式香腸潛艇堡,60
美而美早餐 亞大店,潛艇堡,鮪魚起司潛艇堡,60
美而美早餐 亞大店,潛艇堡,培根火腿起司潛艇堡,60
美而美早餐 亞大店,潛艇堡,檸檬雞潛艇堡,60
美而美早餐 亞大店,蛋餅類,原味蛋餅,25
美而美早餐 亞大店,蛋餅類,火腿蛋餅,35
美而美早餐 亞大店,蛋餅類,肉鬆蛋餅,35
美而美早餐 亞大店,蛋餅類,玉米蛋餅,35
美而美早餐 亞大店,蛋餅類,起司蛋餅,35
美而美早餐 亞大店,蛋餅類,培根蛋餅,40
美而美早餐 亞大店,蛋餅類,鮪魚蛋餅,40
美而美早餐 亞大店,蛋餅類,薯餅蛋餅,40
美而美早餐 亞大店,蛋餅類,熱狗蛋餅,35
美而美早餐 亞大店,蛋餅類,里肌豬排蛋餅,50
美而美早餐 亞大店,蔥抓餅,蔥抓餅加蛋,40
美而美早餐 亞大店,蔥抓餅,原味蔥抓餅,35
美而美早餐 亞大店,蔥抓餅,起司蛋蔥抓餅,50
美而美早餐 亞大店,蔥抓餅,培根蛋蔥抓餅,50
美而美早餐 亞大店,蔥抓餅,豬排蛋蔥抓餅,55
美而美早餐 亞大店,蔥抓餅,火腿蛋蔥抓餅,50
美而美早餐 亞大店,墨西哥生菜捲,檸檬雞生菜捲,60
美而美早餐 亞大店,墨西哥生菜捲,德式香腸生菜捲,60
美而美早餐 亞大店,墨西哥生菜捲,培根火腿起司生菜捲,60
美而美早餐 亞大店,飲料類,豆漿,20
美而美早餐 亞大店,飲料類,奶茶,25
美而美早餐 亞大店,飲料類,綠茶,20
美而美早餐 亞大店,飲料類,紅茶,20
美而美早餐 亞大店,飲料類,綠奶茶,25
美而美早餐 亞大店,飲料類,柳橙風味飲品,30
美而美早餐 亞大店,飲料類,鮮奶茶,35
美而美早餐 亞大店,飲料類,豆漿紅茶,20
美而美早餐 亞大店,飲料類,無糖豆漿,20
美而美早餐 亞大店,超值套餐,1.豬肉起司堡蛋/薯餅/奶茶,75
美而美早餐 亞大店,超值套餐,3.里肌豬排堡蛋/薯餅/奶茶,80
美而美早餐 亞大店,超值套餐,5.鮪魚起司蛋/奶茶,65
美而美早餐 亞大店,超值套餐,2.香雞排堡蛋/薯餅/奶茶,75
美而美早餐 亞大店,超值套餐,4.卡拉雞腿堡蛋/薯餅/奶茶,95
美而美早餐 亞大店,超值套餐,7.總匯三明治/奶茶,80
美而美早餐 亞大店,超值套餐,8.水果蔬菜總匯/奶茶,80
美而美早餐 亞大店,超值套餐,6.火腿起司蛋/奶茶,60
美而美早餐 亞大店,超值套餐,9.玉米蛋餅/雞塊/奶茶,80
美而美早餐 亞大店,超值套餐,10.蘿蔔糕/蛋/奶茶,60
美而美早餐 亞大店,超值套餐,11.鐵板麵/蛋/奶茶,70
美而美早餐 亞大店,超值套餐,12.里肌豬排鐵板麵/蛋/奶茶,80
美而美早餐 亞大店,超值套餐,13.潛艇堡/奶茶,80
美而美早餐 亞大店,超值套餐,14.煎餃(12個)/蛋/奶茶,70
美而美早餐 亞大店,超值套餐,15.火腿蔥抓餅/蛋/奶茶,65
美而美早餐 亞大店,點心類,蘿蔔糕,35
美而美早餐 亞大店,點心類,熱狗,15
美而美早餐 亞大店,點心類,雞塊,35
美而美早餐 亞大店,點心類,荷包蛋,15
美而美早餐 亞大店,點心類,薯餅,20
美而美早餐 亞大店,點心類,檸檬雞柳,45
美而美早餐 亞大店,點心類,煎餃/蛋,60
美而美早餐 亞大店,點心類,德式香腸,30
美而美早餐 亞大店,點心類,黑胡椒醬鐵板麵/蛋,60
美而美早餐 亞大店,點心類,義大利醬鐵板麵/蛋,60
美而美早餐 亞大店,點心類,乳酪餅（甜）,35
美而美早餐 亞大店,點心類,乳酪餅（鹹）,40
美而美早餐 亞大店,點心類,咖喱肉醬麵/蛋,60
美而美早餐 亞大店,漢堡類,培根蛋漢堡,40
美而美早餐 亞大店,漢堡類,豬肉蛋漢堡,40
美而美早餐 亞大店,漢堡類,卡拉雞腿堡蛋漢堡,65
美而美早餐 亞大店,漢堡類,檸檬雞蛋漢堡,55
美而美早餐 亞大店,漢堡類,鮪魚蛋漢堡,40
美而美早餐 亞大店,漢堡類,里肌豬排蛋漢堡,50
美而美早餐 亞大店,漢堡類,香雞排蛋漢堡,40
美而美早餐 亞大店,漢堡類,日式豬排堡,65
美而美早餐 亞大店,漢堡類,魚排堡,65
美而美早餐 亞大店,漢堡類,菲力雞排堡,65
美而美早餐 亞大店,漢堡類,龍鳳堡,55
美而美早餐 亞大店,漢堡類,蔬菜蛋堡,40
美而美早餐 亞大店,漢堡類,隱藏版 花生卡拉蛋堡,70
美而美早餐 亞大店,漢堡類,薯餅蛋堡,40
