商店名稱,品項,菜單,價格
四喜壽喜、夏威夷輕食,輕食,四喜,83
四喜壽喜、夏威夷輕食,輕食,小四喜,123
四喜壽喜、夏威夷輕食,輕食,大四喜,163
四喜壽喜、夏威夷輕食,捲壽司,日式捲壽司,50
四喜壽喜、夏威夷輕食,捲壽司,台式捲壽司,50
四喜壽喜、夏威夷輕食,捲壽司,起司捲壽司,50
四喜壽喜、夏威夷輕食,捲壽司,三角豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,日式捲壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,台式捲壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,起司捲壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,熏雞壽司,50
四喜壽喜、夏威夷輕食,捲壽司,鮮魚捲壽司,50
四喜壽喜、夏威夷輕食,捲壽司,鮮魚捲壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,燻雞壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,泡菜豬壽司,50
四喜壽喜、夏威夷輕食,捲壽司,泡菜豬壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,德式香腸壽司,50
四喜壽喜、夏威夷輕食,捲壽司,德式香腸壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,蟹肉棒壽司,50
四喜壽喜、夏威夷輕食,捲壽司,蟹肉棒壽司加豆皮,50
四喜壽喜、夏威夷輕食,捲壽司,綜合壽司（隨機）,50
四喜壽喜、夏威夷輕食,小品,茶碗蒸,30
四喜壽喜、夏威夷輕食,小品,魚肉味噌湯,30
