商店名稱,品項,菜單,價格
好義式,義大利麵,厚切培根義大利麵,120
好義式,義大利麵,炙燒牛排義大利麵,180
好義式,義大利麵,醬燒雞腿排義大利麵,140
好義式,義大利麵,綜合海鮮義大利麵,180
好義式,義大利麵,白酒蛤蠣義大利麵,150
好義式,義大利麵,德式香腸義大利麵,130
好義式,義大利麵,鐵板鹹豬肉義大利麵,130
好義式,義大利麵,好義式招牌炸雞塊義大利麵,150
好義式,義大利麵,好大大酥炸雞腿義大利麵,150
好義式,義大利麵,番茄炒蛋義大利麵,70
好義式,主廚推薦,義式肉醬義大利麵,90
好義式,主廚推薦,蒜香辣椒義大利麵,90
好義式,主廚推薦,泰式酸辣海鮮義大利麵,180
好義式,主廚推薦,野菜蕈菇義大利麵,90
好義式,主廚推薦,奶油白醬義大利麵,100
好義式,主廚推薦,泰式酸辣雞腿義大利麵,160
好義式,中式料理,什錦豬肉炒泡麵,90
好義式,中式料理,什錦豬肉炒烏龍麵,90
好義式,中式料理,什錦海鮮炒泡麵,130
好義式,中式料理,什錦海鮮炒烏龍麵,130
好義式,中式料理,打拋豬尬白飯,100
好義式,中式料理,義式炸雞塊飯,120
好義式,中式料理,炸雞米花飯,110
好義式,中式料理,鐵板鹹豬肉飯,110
好義式,中式料理,紐奧良雞腿排飯,110
好義式,中式料理,炙燒牛排飯,160
好義式,中式料理,美式脆薯飯,110
好義式,中式料理,好大大酥炸雞腿飯,130
好義式,素食料理,素野菜蕈菇義大利麵（素食）,90
好義式,素食料理,素奶油白醬義大利麵（素食）,100
好義式,素食料理,素什錦炒泡麵（素食）,90
好義式,素食料理,素什錦炒烏龍麵 （素食）,90
好義式,點點心,美式脆薯,60
好義式,點點心,麥克雞塊,50
好義式,點點心,原味雞米花,50
好義式,點點心,特製泰式醬-雞米花,70
好義式,點點心,義式炸雞塊,60
