商店名稱,品項,菜單,價格
麥味登亞大地餐店,早午自由配(6:00-close),布里歐皇厚吐司,89
麥味登亞大地餐店,早午自由配(6:00-close),豬肉起司滿分堡餐,99
麥味登亞大地餐店,早午自由配(6:00-close),嫩蛋義式餃,99
麥味登亞大地餐店,早午自由配(6:00-close),卡滋雞腿堡餐,109
麥味登亞大地餐店,早午自由配(6:00-close),花生厚牛起司滿分堡餐,119
麥味登亞大地餐店,早午自由配(6:00-close),辛炒烏龍麵餐,119
麥味登亞大地餐店,早午自由配(6:00-close),美式鬆餅特餐,149
麥味登亞大地餐店,早午自由配(6:00-close),青醬雞肉義大利麵,169
麥味登亞大地餐店,早午自由配(6:00-close),蘿勒燻雞三明治特餐,169
麥味登亞大地餐店,精選早餐,火腿,25
麥味登亞大地餐店,精選早餐,香雞,35
麥味登亞大地餐店,精選早餐,肉鬆,35
麥味登亞大地餐店,精選早餐,豬肉,40
麥味登亞大地餐店,精選早餐,鮮蛋沙拉,40
麥味登亞大地餐店,精選早餐,鮮蔬,40
麥味登亞大地餐店,精選早餐,鮪魚,45
麥味登亞大地餐店,精選早餐,歐姆蛋,45
麥味登亞大地餐店,精選早餐,培根,45
麥味登亞大地餐店,精選早餐,檸檬雞,45
麥味登亞大地餐店,精選早餐,燻雞,45
麥味登亞大地餐店,精選早餐,黑胡椒豬里肌,50
麥味登亞大地餐店,精選早餐,泡菜豬肉蛋,55
麥味登亞大地餐店,精選早餐,卡滋雞腿,65
麥味登亞大地餐店,精選早餐,超厚雞肉起司,65
麥味登亞大地餐店,精選早餐,超厚牛肉起司,70
麥味登亞大地餐店,精選早餐,超厚蔬肉,70
麥味登亞大地餐店,精選早餐,MWD總匯,75
麥味登亞大地餐店,精選早餐,原塊魚排,85
麥味登亞大地餐店,經典麵包,火腿,35
麥味登亞大地餐店,經典麵包,香雞,45
麥味登亞大地餐店,經典麵包,肉鬆,45
麥味登亞大地餐店,經典麵包,豬肉,50
麥味登亞大地餐店,經典麵包,鮮蛋沙拉,50
麥味登亞大地餐店,經典麵包,鮮蔬,50
麥味登亞大地餐店,經典麵包,鮪魚,55
麥味登亞大地餐店,經典麵包,歐姆蛋,55
麥味登亞大地餐店,經典麵包,培根,55
麥味登亞大地餐店,經典麵包,檸檬雞,55
麥味登亞大地餐店,經典麵包,燻雞,55
麥味登亞大地餐店,經典麵包,黑胡椒豬里肌,60
麥味登亞大地餐店,經典麵包,卡滋雞腿,75
麥味登亞大地餐店,經典麵包,超厚雞肉起司,75
麥味登亞大地餐店,經典麵包,超厚牛肉起司,80
麥味登亞大地餐店,經典麵包,超厚蔬肉,80
麥味登亞大地餐店,經典麵包,原塊魚排,95
麥味登亞大地餐店,滿分堡,歐姆蛋滿分堡,45
麥味登亞大地餐店,滿分堡,火腿薯餅滿分堡,45
麥味登亞大地餐店,滿分堡,豬肉起司滿分堡,50
麥味登亞大地餐店,滿分堡,港式豬肉蛋滿分堡,55
麥味登亞大地餐店,滿分堡,鮪魚蛋滿分堡,55
麥味登亞大地餐店,滿分堡,黑胡椒豬里肌蛋滿分堡,55
麥味登亞大地餐店,滿分堡,超厚雞肉起司滿分堡,60
麥味登亞大地餐店,滿分堡,花生厚牛起司滿分堡,70
麥味登亞大地餐店,滿分堡,原塊嫩雞起司滿分堡,70
麥味登亞大地餐店,滿分堡,超厚蔬肉起司滿分堡,75
麥味登亞大地餐店,滿分堡,原塊魚排蛋滿分堡,85
麥味登亞大地餐店,滿分堡,港式雞扒包,75
麥味登亞大地餐店,點心系列,荷包蛋,15
麥味登亞大地餐店,點心系列,雞優熱狗(2條),15
麥味登亞大地餐店,點心系列,菜脯蛋,25
麥味登亞大地餐店,點心系列,嫩蛋義式餃,50
麥味登亞大地餐店,點心系列,熱狗蛋,30
麥味登亞大地餐店,點心系列,德式香腸,30
麥味登亞大地餐店,點心系列,法式香蒜,30
麥味登亞大地餐店,點心系列,小雞球(8顆),35
麥味登亞大地餐店,點心系列,法國吐司,35
麥味登亞大地餐店,點心系列,歐姆蛋,40
麥味登亞大地餐店,點心系列,雞塊(5塊),40
麥味登亞大地餐店,點心系列,黃金脆薯,40
麥味登亞大地餐店,點心系列,香檸雞柳條(3條),40
麥味登亞大地餐店,點心系列,四角薯餅(2片),40
麥味登亞大地餐店,點心系列,美式鬆餅(甜),40
麥味登亞大地餐店,點心系列,薯餅蛋塔,45
麥味登亞大地餐店,點心系列,台灣番薯(2顆),45
麥味登亞大地餐店,點心系列,時蔬嫩蛋,50
麥味登亞大地餐店,點心系列,椒麻雞塊(5個),50
麥味登亞大地餐店,點心系列,嫩蛋義式餃,50
麥味登亞大地餐店,點心系列,原塊嫩雞（單片）,65
麥味登亞大地餐店,點心系列,唐揚雞塊,70
麥味登亞大地餐店,點心系列,酥炸杏鮑菇,70
麥味登亞大地餐店,中式系列,原味蛋餅,25
麥味登亞大地餐店,中式系列,玉米蛋餅,35
麥味登亞大地餐店,中式系列,火腿蛋餅,35
麥味登亞大地餐店,中式系列,起司蛋餅,35
麥味登亞大地餐店,中式系列,泡菜蛋餅,40
麥味登亞大地餐店,中式系列,燻雞蛋餅,40
麥味登亞大地餐店,中式系列,鮮蔬玉米蛋餅,40
麥味登亞大地餐店,中式系列,熱狗蛋餅,40
麥味登亞大地餐店,中式系列,肉鬆蛋餅,40
麥味登亞大地餐店,中式系列,鮪魚蛋餅,45
麥味登亞大地餐店,中式系列,薯餅蛋餅,45
麥味登亞大地餐店,中式系列,培根蛋餅,50
麥味登亞大地餐店,中式系列,豬里肌蛋餅,50
麥味登亞大地餐店,中式系列,蘿蔔糕,35
麥味登亞大地餐店,中式系列,酥炸餃,30
麥味登亞大地餐店,中式系列,手工蔥抓蛋餅,45
麥味登亞大地餐店,中式系列,黃金泡菜蔥抓餅,45
麥味登亞大地餐店,中式系列,黃金泡菜酥炸餃,45
麥味登亞大地餐店,中式系列,黃金泡菜蘿蔔糕,50
麥味登亞大地餐店,中式系列,中式拼盤,65
麥味登亞大地餐店,中式系列,古早味拼盤,70
麥味登亞大地餐店,中式系列,芋粿巧加蘿蔔糕蛋,80
麥味登亞大地餐店,鐵板麵系列,蘑菇鐵板麵,45
麥味登亞大地餐店,鐵板麵系列,黑胡椒鐵板麵,45
麥味登亞大地餐店,鐵板麵系列,宮保雞丁鐵板麵,60
麥味登亞大地餐店,鐵板麵系列,三杯雞丁鐵板麵,60
麥味登亞大地餐店,鐵板麵系列,眷村麻醬鐵板麵(含蛋),55
麥味登亞大地餐店,鐵板麵系列,川味麻辣鐵板麵(含蛋),55
麥味登亞大地餐店,鐵板麵系列,辛炒烏龍麵,70
麥味登亞大地餐店,握蛋捲餅,原味握蛋捲餅,45
麥味登亞大地餐店,握蛋捲餅,鮪魚握蛋捲餅,65
麥味登亞大地餐店,握蛋捲餅,培根握蛋捲餅,65
麥味登亞大地餐店,握蛋捲餅,燻雞握蛋捲餅,65
麥味登亞大地餐店,握蛋捲餅,德腸握蛋捲餅,65
麥味登亞大地餐店,握蛋捲餅,豬里肌握蛋捲餅,65
麥味登亞大地餐店,握蛋捲餅,起司雙重奏握蛋捲餅,65
麥味登亞大地餐店,抹醬系列,厚片,25
麥味登亞大地餐店,抹醬系列,湯種,25
麥味登亞大地餐店,抹醬系列,丹麥,35
麥味登亞大地餐店,抹醬系列,可頌,35
麥味登亞大地餐店,布里歐皇厚吐司,顆粒花生布里歐皇厚吐司,40
麥味登亞大地餐店,布里歐皇厚吐司,香蒜布里歐皇厚吐司,40
麥味登亞大地餐店,布里歐皇厚吐司,巧克力布里歐皇厚吐司,40
麥味登亞大地餐店,布里歐皇厚吐司,草莓布里歐皇厚吐司,40
麥味登亞大地餐店,布里歐皇厚吐司,蜜糖奶油布里歐皇厚吐司,40
麥味登亞大地餐店,布里歐皇厚吐司,蜜糖起司布里歐皇厚吐司,55
麥味登亞大地餐店,沙拉湯品,奶油玉米濃湯,30
麥味登亞大地餐店,沙拉湯品,巧達濃湯,45
麥味登亞大地餐店,風味飲品,錫蘭紅茶,20
麥味登亞大地餐店,風味飲品,冰釀綠茶(無糖),20
麥味登亞大地餐店,風味飲品,豆漿,20
麥味登亞大地餐店,風味飲品,豆漿紅茶,20
麥味登亞大地餐店,風味飲品,奶茶,25
麥味登亞大地餐店,風味飲品,紅茶拿鐵,35
麥味登亞大地餐店,風味飲品,山藥薏仁,40
麥味登亞大地餐店,風味飲品,柳橙汁,45
麥味登亞大地餐店,風味飲品,可可牛奶,40
麥味登亞大地餐店,風味飲品,紐西蘭牛奶,45
麥味登亞大地餐店,風味飲品,金萱包種茶(無糖),35
麥味登亞大地餐店,風味飲品,手熬冬瓜茶,40
麥味登亞大地餐店,風味飲品,鮮檸冬瓜茶,50
麥味登亞大地餐店,風味飲品,夏威夷冰茶,50
麥味登亞大地餐店,風味飲品,熱帶水果茶,50
麥味登亞大地餐店,風味飲品,萊姆蜜紅茶,50
麥味登亞大地餐店,風味飲品,百香檸檬銀耳,50
麥味登亞大地餐店,風味飲品,蜂蜜檸檬銀耳,50
麥味登亞大地餐店,風味飲品,黑糖方Q撞奶,65
麥味登亞大地餐店,經典咖啡,美式咖啡,40
麥味登亞大地餐店,經典咖啡,拿鐵咖啡,50
麥味登亞大地餐店,經典咖啡,焦糖拿鐵,55
麥味登亞大地餐店,經典咖啡,榛果拿鐵,55
麥味登亞大地餐店,BRUNCH早午餐精選,蛋包飯兒童餐,70
麥味登亞大地餐店,BRUNCH早午餐精選,招牌特餐,70
麥味登亞大地餐店,BRUNCH早午餐精選,美式鬆餅特餐,105
麥味登亞大地餐店,BRUNCH早午餐精選,樂活特餐,120
麥味登亞大地餐店,BRUNCH早午餐精選,幸福特餐,115
麥味登亞大地餐店,BRUNCH早午餐精選,蘿勒燻雞三明治特餐,125
麥味登亞大地餐店,BRUNCH早午餐精選,法式蘿勒鮪魚特餐,125
麥味登亞大地餐店,BRUNCH早午餐精選,紐澳純牛漢堡排特餐,135
麥味登亞大地餐店,BRUNCH早午餐精選,地瓜雞肉餐,145
麥味登亞大地餐店,BRUNCH早午餐精選,健康好食嫩雞餐,155
麥味登亞大地餐店,BRUNCH早午餐精選,泰式卡滋脆雞特餐,155
