商店名稱,品項,菜單,價格
呷飽寶 飯盒/麵食,飯盒系列,日式經典腿排飯Classic Pork Boxed Meal,90
呷飽寶 飯盒/麵食,飯盒系列,黃金嫩雞飯Tender Chicken Boxed Meal,90
呷飽寶 飯盒/麵食,飯盒系列,香酥雞排飯Crispy Chicken Cutlet Boxed Meal,95
呷飽寶 飯盒/麵食,飯盒系列,蜜汁雞排飯Honey Glazed Chicken Cutlet Boxed Meal,95
呷飽寶 飯盒/麵食,飯盒系列,泰式椒麻嫩雞飯Thai-style Peppercorn Chicken Boxed Meal,95
呷飽寶 飯盒/麵食,飯盒系列,日式豬五花飯Pork Belly Boxed Meal,95
呷飽寶 飯盒/麵食,飯盒系列,日式雪花牛飯Marbled Beef Boxed Meal,95
呷飽寶 飯盒/麵食,飯盒系列,黃金起司雞排飯Cheese Chicken Cutlet with Rice,95
呷飽寶 飯盒/麵食,飯盒系列,日式炸豬排飯Fried Pork Chop with Rice,95
呷飽寶 飯盒/麵食,飯盒系列,法式蜂蜜芥末豬排飯Honey Mustard Pork Chop with Rice,95
呷飽寶 飯盒/麵食,飯盒系列,和風咖哩豬排飯Curry Pork Cutlet Boxed Meal,110
呷飽寶 飯盒/麵食,飯盒系列,和風咖哩黃金嫩雞飯Curry Tender Chicken Boxed Meal,110
呷飽寶 飯盒/麵食,羹飯系列,肉羹飯Pork Thick Soup with Rice,70
呷飽寶 飯盒/麵食,羹飯系列,土魠魚羹飯Spanish Mackerel Thick Soup with Rice,70
呷飽寶 飯盒/麵食,羹飯系列,黃金嫩雞羹飯Tender Chicken Thick Soup with Rice,70
呷飽寶 飯盒/麵食,羹飯系列,香酥雞排羹飯Chicken Cutlet Thick Soup with Rice,95
呷飽寶 飯盒/麵食,羹飯系列,蜜汁雞排羮飯Honey Glazed Chicken Cutlet Thick Soup with Rice,95
呷飽寶 飯盒/麵食,羹飯系列,泰式椒麻嫩雞羮飯Thai-style Peppercorn Chicken Thick Soup with Rice,95
呷飽寶 飯盒/麵食,羹麵系列,肉羹麵Pork Thick Soup Noodles,70
呷飽寶 飯盒/麵食,羹麵系列,土魠魚羮麵Spanish Mackerel Thick Soup Noodles,70
呷飽寶 飯盒/麵食,羹麵系列,黃金嫩雞羹麵Tender Chicken Thick Soup Noodles,70
呷飽寶 飯盒/麵食,羹麵系列,香酥雞排羮麵Chicken Cutlet Thick Soup Noodles,95
呷飽寶 飯盒/麵食,羹麵系列,蜜汁雞排羹麵Honey Glazed Chicken Cutlet Thick Soup Noodles,95
呷飽寶 飯盒/麵食,羹麵系列,泰式椒麻嫩雞羹麵Thai-style Peppercorn Chicken Thick Soup Noodles,95
呷飽寶 飯盒/麵食,麵線糊系列,肉羹麵線Meat Broth Thin Noodles,70
呷飽寶 飯盒/麵食,麵線糊系列,大腸麵線Intestine Thin Noodles,70
呷飽寶 飯盒/麵食,麵線糊系列,土魠魚麵線Spanish Mackerel Thin Noodles,70
呷飽寶 飯盒/麵食,麵線糊系列,黃金嫩雞麵線Tender Chicken Thin Noodles,70
呷飽寶 飯盒/麵食,麵線糊系列,綜合麵線(肉羹+大腸)Pork and Intestine With Thin Noodles,70
呷飽寶 飯盒/麵食,麵線糊系列,香酥雞排麵線Chicken Cutlet Thin Noodles,95
呷飽寶 飯盒/麵食,麵線糊系列,蜜汁雞排麵線Honey Glazed Chicken Cutlet Thin Noodles,95
呷飽寶 飯盒/麵食,麵線糊系列,泰式椒麻嫩雞麵線Thai-style Peppercorn Chicken Thin Noodles,95
呷飽寶 飯盒/麵食,單點,白飯,15
