商店名稱,品項,菜單,價格
嗑吧韓式料理 亞大店,韓式料理(豬),炒烤豬肉丼飯(附湯),70
嗑吧韓式料理 亞大店,韓式料理(豬),炒泡菜豬肉蓋飯(附湯),70
嗑吧韓式料理 亞大店,韓式料理(豬),壽喜鍋 (豬肉),90
嗑吧韓式料理 亞大店,韓式料理(豬),泡菜鍋 (豬肉)白飯或泡麵,90
嗑吧韓式料理 亞大店,韓式料理(豬),泡菜辛泡麵 (豬肉),90
嗑吧韓式料理 亞大店,韓式料理(豬),起司豆腐煲 (豬肉/附白飯),100
嗑吧韓式料理 亞大店,韓式料理(豬),起司泡麵部隊鍋 (豬肉),130
嗑吧韓式料理 亞大店,韓式料理(豬),韓式釜山煮年糕鍋,80
嗑吧韓式料理 亞大店,韓式料理(牛),炒烤牛肉丼飯(附湯),80
嗑吧韓式料理 亞大店,韓式料理(牛),壽喜鍋 (牛肉),110
嗑吧韓式料理 亞大店,韓式料理(牛),泡菜鍋 (牛肉/附白飯或泡麵),110
嗑吧韓式料理 亞大店,韓式料理(牛),泡菜辛泡麵 (牛肉),110
嗑吧韓式料理 亞大店,韓式料理(牛),起司豆腐煲 (牛肉/附白飯),120
嗑吧韓式料理 亞大店,韓式料理(牛),起司泡麵部隊鍋 (牛肉),150
嗑吧韓式料理 亞大店,韓式料理(牛),雪濃牛肉鍋(附白飯),120
嗑吧韓式料理 亞大店,韓式料理(牛),炒泡菜牛肉蓋飯(附湯),80
嗑吧韓式料理 亞大店,韓式料理(牛),韓式釜山煮年糕鍋,100
嗑吧韓式料理 亞大店,辣炒年糕/其它,起司辣炒年糕,90
嗑吧韓式料理 亞大店,辣炒年糕/其它,韓式魚板烏龍麵,70
