商店名稱,品項,菜單,價格
樂享鍋物,鍋物,牛肉鍋,100
樂享鍋物,鍋物,豬肉鍋,100
樂享鍋物,鍋物,麻辣豬肉鍋,110
樂享鍋物,鍋物,麻辣牛肉鍋,110
樂享鍋物,鍋物,剝皮辣椒豬肉鍋,110
樂享鍋物,鍋物,剝皮辣椒牛肉鍋,110
樂享鍋物,鍋物,沙茶豬肉鍋,110
樂享鍋物,鍋物,沙茶牛肉鍋,110
樂享鍋物,鍋物,蝦蝦鍋,125
樂享鍋物,鍋物,南洋叻沙豬肉鍋,125
樂享鍋物,鍋物,南洋叻沙牛肉鍋,125
樂享鍋物,鍋物,日式奶油味噌豬肉鍋,110
樂享鍋物,鍋物,日式奶油味噌牛肉鍋,110
樂享鍋物,鍋物,日式壽喜豬肉鍋,110
樂享鍋物,鍋物,日式壽喜牛肉鍋,110
樂享鍋物,鍋物,泰式綠咖哩豬肉鍋,110
樂享鍋物,鍋物,泰式綠咖哩牛肉鍋,110
樂享鍋物,鍋物,炸雞腿鍋,125
樂享鍋物,鍋物,炸雞排鍋,135
樂享鍋物,鍋物,炸雞塊鍋,125
樂享鍋物,鍋物,鹽酥雞鍋,130
樂享鍋物,鍋物,麻辣炸雞腿鍋,130
樂享鍋物,鍋物,麻辣雞排鍋,140
樂享鍋物,鍋物,麻辣鹽酥雞鍋,135
樂享鍋物,鍋物,麻辣雞塊鍋,130
樂享鍋物,鍋物,奶油味噌炸雞腿鍋,130
樂享鍋物,鍋物,奶油味噌雞排鍋,140
樂享鍋物,鍋物,奶油味噌雞塊鍋,130
樂享鍋物,鍋物,奶油味噌鹽酥雞鍋,135
樂享鍋物,重⼝味,麻辣鴨血,70
樂享鍋物,重⼝味,麻辣綜合,75
樂享鍋物,重⼝味,麻辣豆腐,70
樂享鍋物,重⼝味,麻辣燙(3種料）,80
樂享鍋物,重⼝味,麻辣燙(4種料),90
樂享鍋物,重⼝味,麻辣燙(5種料),100
樂享鍋物,炸物套餐,酥炸雞腿,45
樂享鍋物,炸物套餐,小雞塊,45
樂享鍋物,炸物套餐,香雞排,55
樂享鍋物,炸物套餐,鹽酥雞,50
樂享鍋物,炸物套餐,脆皮雞塊,40
樂享鍋物,炸物套餐,炸雞1號餐雞腿雞塊脆薯,120
樂享鍋物,炸物套餐,螺絲捲,35
樂享鍋物,炸物套餐,小蔥餅,40
樂享鍋物,炸物套餐,波波起司球,40
樂享鍋物,炸物套餐,干貝酥,40
樂享鍋物,炸物套餐,花枝丸,30
樂享鍋物,炸物套餐,炸雞2號餐雞塊雞排脆薯,135
樂享鍋物,炸物套餐,蝦卷,35
樂享鍋物,炸物套餐,炸雞3號餐雞腿雞排脆薯,135
樂享鍋物,炸物套餐,帝王蟹肉棒,50
樂享鍋物,炸物套餐,雞米花,45
樂享鍋物,炸物套餐,地瓜,45
樂享鍋物,炸物套餐,脆薯,45
樂享鍋物,炸物套餐,爆漿荔枝球,40
樂享鍋物,炸物套餐,蘿蔔酥餅,45
樂享鍋物,炸物套餐,魷魚圈,50
樂享鍋物,炸物套餐,米血,25
樂享鍋物,炸物套餐,香菇貢丸,30
樂享鍋物,炸物套餐,龍蝦沙拉,30
樂享鍋物,炸物套餐,玉米筍,25
樂享鍋物,炸物套餐,炸雞4號餐鹽酥雞雞米花脆薯,125
樂享鍋物,炸物套餐,炸雞5號餐雞腿雞排雞塊,135
樂享鍋物,優惠加購區,鍋物麻辣燙加購炸雞腿,40
樂享鍋物,優惠加購區,鍋物麻辣燙加購雞排,50
樂享鍋物,優惠加購區,鍋物麻辣燙加購炸雞塊,40
樂享鍋物,優惠加購區,鍋物麻辣燙加購鹽酥雞,45
樂享鍋物,優惠加購區,鍋物麻辣燙加購脆薯,40
樂享鍋物,優惠加購區,鍋物麻辣燙加購地瓜,40
樂享鍋物,優惠加購區,鍋物麻辣燙加購小雞塊,40
樂享鍋物,優惠加購區,鍋物麻辣燙加購雞米花,40
