商店名稱,品項,菜單,價格
鍋來粥到,粥品類,皮蛋瘦肉粥,60
鍋來粥到,粥品類,鹹蛋瘦肉粥,60
鍋來粥到,粥品類,滑蛋瘦肉粥,60
鍋來粥到,粥品類,滑蛋玉米粥,60
鍋來粥到,粥品類,玉米瘦肉粥,60
鍋來粥到,粥品類,肉鬆玉米粥,50
鍋來粥到,粥品類,肉鬆粥,40
鍋來粥到,粥品類,白粥,30
鍋來粥到,粥品類,高麗菜粥,40
鍋來粥到,粥品類,高麗菜瘦肉粥,60
鍋來粥到,粥品類,皮蛋玉米粥,60
鍋來粥到,粥品類,鹹蛋玉米粥,60
鍋來粥到,粥品類,高麗菜玉米粥,60
鍋來粥到,餃子類,水餃,60
鍋來粥到,餃子類,炒手,60
鍋來粥到,餃子類,泡菜湯餃,70
鍋來粥到,餃子類,青菜蛋花湯餃,70
鍋來粥到,酸辣類,酸辣飯,60
鍋來粥到,酸辣類,酸辣麵,60
鍋來粥到,酸辣類,酸辣湯,40
鍋來粥到,酸辣類,酸辣湯餃,70
鍋來粥到,和風類,奶香麵,40
鍋來粥到,和風類,青菜蛋花麵,60
鍋來粥到,和風類,雲吞麵,60
鍋來粥到,和風類,湯麵,40
鍋來粥到,湯品類,雲吞湯,40
鍋來粥到,湯品類,青菜蛋花湯,30
鍋來粥到,湯品類,貢丸湯,30
鍋來粥到,乾麵類,泡菜乾麵,60
鍋來粥到,乾麵類,乾麵,40
鍋來粥到,鍋燒類,鍋燒麵,85
鍋來粥到,鍋燒類,牛奶鍋燒麵,85
鍋來粥到,鍋燒類,豚骨鍋燒麵,85
鍋來粥到,鍋燒類,泡菜鍋燒麵,85
鍋來粥到,鍋燒類,味噌鍋燒意麵,85
鍋來粥到,素食專區,(素)皮蛋玉米粥,60
鍋來粥到,素食專區,(素)鹹蛋玉米粥,60
鍋來粥到,素食專區,(素)滑蛋玉米粥,60
鍋來粥到,素食專區,(素)高麗菜玉米粥,60
鍋來粥到,素食專區,(素)肉鬆玉米粥,50
鍋來粥到,素食專區,(素)高麗菜粥,40
鍋來粥到,素食專區,(素)肉鬆粥,40
鍋來粥到,素食專區,(素)白粥,30
鍋來粥到,素食專區,(素)奶香麵,40
鍋來粥到,素食專區,(素)蛋花湯麵,60
鍋來粥到,素食專區,(素)鍋燒麵,85
鍋來粥到,素食專區,(素)味噌鍋燒麵,85
鍋來粥到,素食專區,(素)牛奶鍋燒麵,85
鍋來粥到,素食專區,(素)泡菜鍋燒麵,85
鍋來粥到,雞肉片類,和風雞肉片麵,85
鍋來粥到,雞肉片類,泡菜雞肉片麵,95
鍋來粥到,雞肉片類,味噌雞肉片麵,95
鍋來粥到,雞肉片類,豚骨雞肉片麵,95
鍋來粥到,雞肉片類,牛奶雞肉片麵,95
鍋來粥到,豬肉片類,味噌豬肉麵,95
鍋來粥到,豬肉片類,豚骨豬肉麵,95
鍋來粥到,豬肉片類,牛奶豬肉麵,95
鍋來粥到,豬肉片類,泡菜豬肉麵,95
鍋來粥到,豬肉片類,和風豬肉麵,85
